,Title,Published_date,Views,Likes,Comments,Month
69,UCM 2023 Distinguished International Alumni Award - Srinija Amisthapur,2023-10-21,1306,23,8,Oct
70,UCM 2023 Distinguished Alumni Award for Early Achievement - Marcela Rodriguez-Gonzalez,2023-10-21,266,5,0,Oct
71,Financial Aid - University of Central Missouri (UCM),2023-10-05,350,5,0,Oct
72,Student Life at the University of Central Missouri (UCM),2023-10-05,593,8,1,Oct
73,Discover Your Life at UCM - University of Central Missouri Housing,2023-10-05,2222,10,2,Oct
74,"UCM Homecoming 2023 - Peace, Love and Mules",2023-09-14,693,12,0,Sep
75,UCM Get the Red Out 2023 - University of Central Missouri,2023-09-12,641,2,1,Sep
76,UCM Global Vision Scholarship,2023-09-01,728,9,0,Sep
77,Welcome to our Stomping Ground - University of Central Missouri,2023-08-23,1593042,15,0,Aug
78,Be a UCM Traditions Keeper,2023-08-07,325,7,1,Aug
79,UCM Summer 2023 Theme Song - University of Central MIssouri (Phineas and Ferb Parody),2023-08-04,685,19,0,Aug
80,Athletics - University of Central Missouri,2023-05-30,1031,10,1,May
81,Spring 2023 Commencement - University of Central Missouri (UCM),2023-05-22,1292,13,0,May
82,University of Central Missouri (UCM) Perspective 2022-2023,2023-05-03,690,15,3,May
83,My UCM Story - Kenny Wall,2023-03-29,477,12,0,Mar
84,Hyperlapse - UCM Get the Red Out 2022,2022-12-07,349,3,0,Dec
85,Veterans Day 2022 - University of Central Missouri,2022-11-14,467,10,0,Nov
86,Meet the Mascots - University of Central Missouri,2022-10-26,1363,16,0,Oct
87,Homecoming - University of Central Missouri,2022-10-19,479,8,1,Oct
88,UCM 2022 Distinguished Alumni Award for Service - Diane and Barry Whitworth,2022-10-15,254,2,3,Oct
89,"UCM 2022 Distinguished Alumni Award for Service - Dred Scott, Ed.D.",2022-10-15,199,8,0,Oct
90,UCM 2022 Distinguished Alumni Award for Early Achievement - Allison Jaslow,2022-10-15,166,2,0,Oct
91,The University of Central Missouri 2022 Distinguished Alumni Award - Richard Wilson Bennet III,2022-10-15,357,5,0,Oct
92,"The University of Central Missouri 2022 Distinguished Alumni Award - Beth Tankersley-Bankhead, Ph.D.",2022-10-15,313,11,0,Oct
93,Virtual Tour - University of Central Missouri,2022-10-12,11204,65,5,Oct
94,Academic Excellence - University of Central Missouri,2022-10-07,477,3,0,Oct
95,Get the Red Out - University of Central Missouri,2022-09-13,325,5,0,Sep
96,UCM Homecoming: Feeling '22,2022-09-12,994,6,0,Sep
97,Big Experiences - University of Central Missouri,2022-09-08,258639,5,0,Sep
98,Level Up - University of Central Missouri,2022-09-08,627,1,0,Sep
99,Online Graduate - University of Central Missouri,2022-09-07,298,1,0,Sep
100,Traditions - University of Central Missouri,2022-09-01,2408,30,0,Sep
101,Week of Welcome 2022 - University of Central Missouri,2022-08-22,575,7,0,Aug
102,Freshman Move-in Day 2022 - University of Central Missouri,2022-08-15,2631,22,2,Aug
103,Loser Buys Lunch - University of Central Missouri,2022-07-27,610,10,1,Jul
104,Fast Facts: University of Central Missouri,2022-06-22,3921,23,0,Jun
105,Spring 2022 Commencement - University of Central Missouri,2022-05-10,1931,18,0,May
106,"Spring 2022 Commencement - 5 p.m. Saturday, May 7",2022-05-09,1968,19,2,May
107,"Spring 2022 Commencement - 1:30 p.m. Saturday, May 7",2022-05-07,1587,19,1,May
108,"Spring 2022 Commencement - 10 a.m. Saturday, May 7",2022-05-07,1225,17,1,May
109,"Spring 2022 Commencement - 6 p.m. Friday, May 6",2022-05-07,1361,17,0,May
110,"Spring 2022 Commencement - 3 p.m. Friday, May 6",2022-05-07,6275,42,2,May
111,University of Central Missouri - Discover Opportunity In Action,2022-04-25,166353,8,1,Apr
112,Why I Teach - Christopher Goodwin,2022-04-11,456,3,1,Apr
113,Red Means Go: Difference Makers - University of Central Missouri,2022-03-29,662535,6,0,Mar
114,Governor's Excellence in Education Award 2022: Scott Smith,2022-03-25,268,6,1,Mar
115,Why I Teach - Meredith Beggs,2022-02-25,335,1,0,Feb
116,Why I Teach - Amanda Brewer,2022-02-25,261,7,2,Feb
117,Why I Teach - Emma Hill,2022-02-25,338,7,0,Feb
118,Why I Teach - Mark Lee,2022-02-25,118,1,0,Feb
119,Why I Teach - Brandy Lynch,2022-02-25,244,3,0,Feb
120,Why I Teach - Christi Richardson,2022-02-25,96,0,0,Feb
121,Why I Teach - Kristina Schuler,2022-02-25,84,0,0,Feb
122,Why I Teach - Emily Sharpe,2022-02-25,155,1,0,Feb
123,Why I Teach - Sydney Sinclair,2022-02-25,115,3,0,Feb
124,"Why I Teach - Samantha ""Sam"" Stucker",2022-02-25,168,2,0,Feb
125,Why I Teach -  Natalie Tye,2022-02-25,225,3,0,Feb
126,UCM Radiologic Technology & MLS Programs,2022-01-14,528,7,1,Jan
127,2021 Awards and Accolades - University of Central Missouri,2021-12-20,341,5,3,Dec
128,UCM Commencement Fall 2021,2021-12-14,728,16,1,Dec
129,"Fall 2021 Commencement - 5 p.m. Saturday, Dec. 11",2021-12-13,736,12,0,Dec
130,"Fall 2021 Commencement - 1:30 p.m. Saturday, Dec. 11",2021-12-13,593,11,0,Dec
131,"Fall 2021 Commencement - 10 a.m. Saturday, Dec.11",2021-12-11,1502,10,0,Dec
132,"Fall 2021 Commencement - 5 p.m. Friday, Dec. 10",2021-12-11,861,10,0,Dec
133,Happy Holidays - University of Central Missouri,2021-12-10,1814,52,2,Dec
134,UCM Bands Present the First Lady's Holiday Charity Concert,2021-12-02,704,16,0,Dec
135,Cydni Stanford - My UCM Story,2021-11-30,265,4,0,Nov
136,2021 Homecoming Parade Live Stream - University of Central Missouri,2021-10-28,1563,19,5,Oct
137,The University of Central Missouri 2021 Distinguished Alumni Award - Russ Ball,2021-10-26,250,4,3,Oct
138,The University of Central Missouri 2021 Distinguished Alumni Award - Joseph Dandurand,2021-10-26,162,3,0,Oct
139,The University of Central Missouri 2020 Distinguished Alumni Award for Service - John Culp,2021-10-26,317,8,2,Oct
140,The University of Central Missouri 2020 Distinguished Alumni Award - Donna Lake,2021-10-26,99,2,0,Oct
141,The University of Central Missouri 2020 Distinguished Alumni Award - Melissa Willis,2021-10-26,221,2,1,Oct
142,University of Central Missouri 2020 Distinguished International Alumni Award - Faruk Capan,2021-10-26,268,2,0,Oct
143,UCM THRIVE Program Celebrates 10 Years of Transforming Lives of Students with Disabilities,2021-09-30,2010,17,1,Sep
144,Red Means Go: Making Things Happen - University of Central Missouri,2021-09-08,2698667,9,0,Sep
145,Week of Welcome 2021 - University of Central Missouri,2021-08-25,6497,42,0,Aug
146,Laying the Cornerstone for 150 Years of Service - University of Central Missouri,2021-08-16,125,3,0,Aug
147,Move-in Day 2021 - University of Central Missouri,2021-08-16,1521,14,1,Aug
148,UCM Lee's Summit Virtual Tour,2021-08-06,7715,71,1,Aug
149,Meet Our Mule Riders - University of Central Missouri,2021-08-02,1026,13,0,Aug
150,Summer Days with Mo and President Best,2021-07-26,320,4,0,Jul
151,Master of Business Administration - University of Central Missouri,2021-07-26,640,9,1,Jul
152,State Farm Marketing and Sales Competition 2019 - University of Central Missouri,2021-06-24,342,3,0,Jun
153,Nursing - Macy Hoyer,2021-06-11,524,4,1,Jun
154,CAHSS - Kayla Rieves,2021-06-11,85,1,0,Jun
155,HCBPS - Blake Hedberg,2021-06-11,162,0,0,Jun
156,HCBPS - Kiran & Harman Chahal,2021-06-11,384,6,0,Jun
157,Nickey Buzek,2021-06-11,115,1,0,Jun
158,HCBPS - Tameka Poppars,2021-06-11,98,1,0,Jun
159,COE - Eliza Maloney,2021-06-11,75,1,0,Jun
160,CAHSS - Matthew Manning,2021-06-11,88,0,0,Jun
161,CHST - Reanna Geddes,2021-06-11,85,1,0,Jun
162,Dalton Pittenger,2021-06-11,29,0,0,Jun
163,Matthew Manning,2021-06-11,44,1,0,Jun
164,Welcome Back Mules & Jennies,2021-06-11,226,1,0,Jun
165,Jensen Honored with 2020 Governor's Award for Excellence in Education,2021-06-11,330,9,0,Jun
166,"Snouts Out, Mask On - University of Central Missouri",2021-06-11,300,1,0,Jun
167,Campus Community Health Answers Your COVID Testing FAQs - University of Central Missouri,2021-06-11,55,0,0,Jun
168,Surprise Proposal on UCM Campus Tour - University of Central Missouri,2021-06-03,804,17,1,Jun
169,"Thank You, Students! - University of Central Missouri",2021-05-19,468,6,0,May
170,UCM Recognized as Military Friendly® - University of Central Missouri,2021-05-13,512,5,1,May
171,Fighting Mules Cadets Fly High Over UCM - University of Central Missouri,2021-05-13,241,5,0,May
172,UCM Commencement Spring 2021,2021-05-11,791,15,1,May
173,"Spring 2021 Commencement - 5:30 p.m. Sunday, May 9",2021-05-10,622,17,0,May
174,"Spring 2021 Commencement - 3 p.m. Sunday, May 9",2021-05-10,1069,20,0,May
175,"Spring 2021 Commencement - 12:30 p.m. Sunday, May 9",2021-05-10,390,5,0,May
176,"Spring 2021 Commencement - 10 a.m. Sunday, May 9",2021-05-10,524,10,1,May
177,"Spring 2021 Commencement - 5:30 p.m. Saturday, May 8",2021-05-10,776,15,0,May
178,"Spring 2021 Commencement - 3 p.m. Saturday, May 8",2021-05-10,658,14,1,May
179,"Spring 2021 Commencement - 12:30 p.m. Saturday, May 8",2021-05-08,716,5,1,May
180,"Spring 2021 Commencement - 10 a.m. Saturday, May 8",2021-05-08,1001,8,0,May
181,"Spring 2021 Commencement - 5:30 p.m. Friday, May 7",2021-05-08,919,10,0,May
182,"Spring 2021 Commencement - 3 p.m. Friday, May 7, 2021",2021-05-08,960,7,2,May
183,UCM 150th Birthday Bash Picnic,2021-04-29,807,18,2,Apr
184,150 Years of Education for Service - University of Central Missouri,2021-04-27,569,13,0,Apr
185,"2021 Governor’s Excellence in Education Award - Julie Hentges, Ed.D.",2021-04-23,109,1,0,Apr
186,2021 Byler Award - Fran Reddington,2021-04-23,68,1,0,Apr
187,2021 Student Employees of the Year - University of Central Missouri,2021-04-16,276,8,2,Apr
188,UCM Nursing Students Gain Valuable Experience Amid Pandemic - University of Central Missouri,2021-03-03,311,5,0,Mar
189,Pelton's Generosity Keeps the Beat at UCM,2021-02-18,286,8,0,Feb
190,Become an Official UCM Traditions Keeper - University of Central Missouri,2021-02-09,2805,10,1,Feb
191,2021 MLK Freedom Scholarship Recipients - University of Central Missouri,2021-01-26,270,4,0,Jan
192,Celebrating 150 Years of Education for Service - #UCM150,2021-01-04,522,7,0,Jan
193,Fall 2020 Commencement - University of Central Missouri,2020-12-14,912,10,0,Dec
194,"Fall 2020 Commencement - 6 p.m. Sunday, Dec. 13",2020-12-14,539,2,0,Dec
195,"Fall 2020 Commencement - 3 p.m. Sunday, Dec. 13",2020-12-13,523,5,0,Dec
196,"Fall 2020 Commencement - 12 p.m. Sunday, Dec. 13",2020-12-13,391,4,0,Dec
197,"Fall 2020 Commencement - 9 a.m. Sunday, Dec. 13",2020-12-13,718,14,1,Dec
198,"Fall 2020 Commencement - 6 p.m. Saturday, Dec. 12",2020-12-13,1251,13,3,Dec
199,"Fall 2020 Commencement - 3 p.m. Saturday, Dec. 12",2020-12-12,537,2,0,Dec
200,"Fall 2020 Commencement - 12 p.m. Saturday, Dec. 12",2020-12-12,2033,12,0,Dec
201,"Fall 2020 Commencement - 9 a.m. Saturday, Dec. 12",2020-12-12,562,3,0,Dec
202,"Fall 2020 Commencement - 6 p.m. Friday, Dec. 11",2020-12-12,930,15,0,Dec
203,"Fall 2020 Commencement - 3 p.m. Friday, Dec. 11",2020-12-11,847,10,0,Dec
204,Happy Holidays from UCM,2020-12-09,1591,44,3,Dec
205,We Are MuleStrong - University of Central Missouri,2020-12-01,906043,10,0,Dec
206,Alum from Day 1 - University of Central Missouri,2020-11-04,429,6,0,Nov
207,Best Soars with Golden Knights,2020-10-08,137,7,0,Oct
208,Peyton Taylor - My UCM Story,2020-09-23,422,16,0,Sep
209,UCM Alumni Foundation Planned Giving Seminar,2020-09-21,143,0,0,Sep
210,UCM Classroom Transformation for W.C. Morris 422,2020-09-08,355,6,0,Sep
211,Why I Wear Mask - University of Central Missouri,2020-08-31,218,10,1,Aug
212,Students Lead the Way - University of Central Missouri,2020-08-28,260,11,0,Aug
213,2019-2020 Awards and Accolades - University of Central Missouri,2020-08-28,263,1,1,Aug
214,2020 State of the University - University of Central Missouri,2020-08-27,227,4,0,Aug
215,2020 State of the University - University of Central Missouri,2020-08-27,1566,8,1,Aug
216,2020 Freshman Convocation - University of Central Missouri,2020-08-14,522,2,0,Aug
217,2020 Freshman Convocation - University of Central Missouri,2020-08-14,127,1,0,Aug
218,"Kelly ""Murph"" Murphy Represents UCM on ""Tough As Nails"" - University of Central Missouri",2020-07-29,4704,71,7,Jul
219,Freeman Wins NFA Myers Award,2020-06-26,76,3,0,Jun
220,President Best Discusses the Fall '20 Semester on 1450 KOKO-AM - University of Central Missouri,2020-06-16,174,8,0,Jun
221,Presidential Forum: Fall 2020 Outlook,2020-06-11,1412,4,0,Jun
222,Wedding Chemistry at UCM,2020-06-10,840,8,0,Jun
223,Virtual Campus Tour - University of Central Missouri,2020-05-20,35507,365,11,May
224,UCM McNair Scholars Recognition 2020,2020-05-12,589,13,2,May
225,"Congratulations, Class of 2020 - University of Central Missouri",2020-05-08,280,7,0,May
226,Happy Teacher Appreciation Day,2020-05-05,472,14,0,May
227,2020 Charno Awards Virtual Presentation - University of Central Missouri,2020-05-01,99,1,0,May
228,Origami Mule Head Tutorial - University of Central Missouri,2020-04-27,320,0,0,Apr
229,Byler Award 2020 - Dawna Lisa Butterfield,2020-04-21,68,2,0,Apr
230,Amber Clifford-Napoleone - UCM Faculty Feature,2020-04-15,224,3,0,Apr
231,#MuleStrong: A Message from UCM President Roger Best,2020-04-03,490,11,0,Apr
232,President Roger Best Discusses COVID-19 Concerns in Live Interview - University of Central Missouri,2020-03-24,341,3,0,Mar
233,Ellen Blaize's UCM Memorabilia Showcase - University of Central Missouri,2020-03-02,114,1,1,Mar
234,UCM Study Abroad - Italy,2020-02-25,209,2,0,Feb
235,Success Advising Center Grand Opening - University of Central Missouri,2020-02-20,140,1,0,Feb
236,"See You Soon, Mules & Jennies - University of Central Missouri",2020-02-20,122,2,0,Feb
237,"My UCM Story- Kenny Wall, Pt. II",2020-02-18,79,2,0,Feb
238,UCM Esports Players Receive Scholarships - University of Central Missouri,2020-02-18,228,3,0,Feb
239,My UCM Story - Nico Philipp,2020-02-05,408,7,0,Feb
240,Central Summer Academy - University of Central Missouri,2020-01-28,703,6,0,Jan
241,Opportunity in Action - University of Central Missouri,2020-01-09,339,7,0,Jan
242,Integrative Business Experience - University of Central Missouri,2020-01-09,352,3,0,Jan
243,Graduate and International Student Services - University of Central Missouri,2019-12-19,1385,19,0,Dec
244,Fall 2019 Commencement - University of Central Missouri,2019-12-18,438,8,0,Dec
245,Happy Holidays from UCM,2019-12-12,857,24,0,Dec
246,Missouri Innovation Campus Program - University of Central Missouri,2019-11-18,662,9,0,Nov
247,Impact Week 2019 - Your Support Makes a Difference,2019-11-13,346,9,1,Nov
248,College of Education Centennial - University of Central Missouri,2019-10-28,330,6,0,Oct
249,You Are Welcome Here - University of Central Missouri,2019-10-17,7594,117,2,Oct
250,A Celebration of MuleNation - University of Central Missouri,2019-10-14,466,4,0,Oct
251,"Paul Hsu, Ph.D. - UCM Distinguished Alumni 2019",2019-10-14,282,5,0,Oct
252,Larry Jennings - UCM Distinguished Alumni 2019,2019-10-14,253,5,1,Oct
253,Debby Ballard - UCM Distinguished Alumni 2019,2019-10-14,252,2,0,Oct
254,Maj. Gen. (Ret.) Pat Cavanaugh - UCM Distinguished Alumni 2019,2019-10-14,347,7,2,Oct
255,Welcome to Homecoming 2019 - A Celebration of MuleNation,2019-09-24,398,7,0,Sep
256,Discover Opportunity In Action - University of Central Missouri,2019-09-17,2442937,23,0,Sep
257,State of the University Address 2019 - University of Central Missouri,2019-08-29,255,0,0,Aug
258,This Is Our Stomping Ground - University of Central Missouri,2019-08-29,250959,16,1,Aug
259,Awards and Accolades 2019 - University of Central Missouri,2019-08-29,384,7,0,Aug
260,Move-in Day 2019 - University of Central Missouri,2019-08-16,1927,14,0,Aug
261,Safety Sciences - University of Central Missouri,2019-08-08,1442,11,0,Aug
262,School of Nursing Tour - University of Central Missouri,2019-06-13,2417,28,0,Jun
263,"Inauguration of President Roger J. Best, Ph.D. - University of Central Missouri",2019-05-30,246,2,0,May
264,"Thank You, MuleNation - University of Central Missouri",2019-05-16,208,1,0,May
265,Spring 2019 Commencement - University of Central Missouri,2019-05-14,1212,7,0,May
266,Parents and UCM - University of Central Missouri,2019-04-30,291,3,1,Apr
267,MuleNation Home Chapter Celebration 2019 - University of Central Missouri,2019-04-30,188,0,0,Apr
268,Studying Public Relations in Australia - University of Central Missouri,2019-04-01,371,2,0,Apr
269,Free Tuition Giveaway - University of Central Missouri,2019-01-18,453,3,0,Jan
270,Student Managed Investment Fund - University of Central Missouri,2019-01-08,554,11,1,Jan
271,Celebrating 10 Years of the Global Vision Endowment - University of Central Missouri,2019-01-08,132,0,0,Jan
272,Westhoff Family Fellowship - University of Central Missouri,2018-12-17,61,2,0,Dec
273,Fall 2018 Commencement - University of Central Missouri,2018-12-11,799,5,0,Dec
274,Global Vision Scholarship - University of Central Missouri,2018-12-10,208,1,0,Dec
275,Happy Holidays 2018 - University of Central Missouri,2018-12-06,857,2,0,Dec
276,Homecoming 2018 - University of Central Missouri,2018-10-30,465,3,0,Oct
277,Dr. Rafie Hamidpour - 2018 UCM Distinguished International Alumni Award,2018-10-29,329,4,0,Oct
278,Rand Harbert - 2018 UCM Distinguished Alumni Award,2018-10-29,962,2,0,Oct
279,Dr. Rebecca Morlando - 2018 UCM Distinguished Alumni Award,2018-10-29,224,3,0,Oct
280,Sarah Osborne - 2018 UCM Distinguished Alumni Award for Early Achievement,2018-10-29,441,4,0,Oct
281,Richard Phillips - 2018 UCM Distinguished Alumni Award for Service,2018-10-29,175,2,0,Oct
282,UCM Legacy Family: Four Generations - University of Central Missouri,2018-10-29,86,0,0,Oct
283,Innovative Public Relations - University of Central Missouri,2018-10-15,384,5,0,Oct
284,Gift of Success - University of Central Missouri,2018-10-09,357,3,0,Oct
285,Opportunity in Action - University of Central Missouri,2018-09-19,2983309,21,3,Sep
286,The Middle East: Beyond the Headlines - University of Central Missouri,2018-09-19,365,3,0,Sep
287,My UCM Opportunity - University of Central Missouri,2018-09-05,1310,7,0,Sep
288,UCM State of the University 2018,2018-08-23,846,5,0,Aug
289,Dr. Best's #UCMKnowsBest 2018 Q&A - University of Central Missouri,2018-08-20,149,2,0,Aug
290,Miller Scully Receives Innovative Teaching Award - University of Central Missouri,2018-08-10,123,6,0,Aug
291,"UCM, FEC, and SnapIT Solutions Partnership - University of Central Missouri",2018-08-02,565,6,0,Aug
292,Global Classrooms - University of Central Missouri,2018-05-17,599,3,1,May
293,Kip Niven Theatre Residency - University of Central Missouri,2018-05-14,367,3,2,May
294,Spring 2018 Commencement - University of Central Missouri,2018-05-08,2440,17,0,May
295,Themed Learning Communities - University of Central Missouri,2018-04-25,132,0,0,Apr
296,Concertmaster Eric Halen's Master Class - University of Central Missouri,2018-04-03,301,5,0,Apr
297,Jennies Basketball Claims 2018 NCAA D-II National Championship - University of Central Missouri,2018-03-28,636,4,0,Mar
298,Children's Literature Festival's 50th Anniversary - University of Central Missouri,2018-03-26,386,0,1,Mar
299,Above and Beyond: Our Commitment Student Success - University of Central Missouri,2018-03-08,1454,5,0,Mar
300,Career Services Center - University of Central Missouri,2018-02-28,2204,6,0,Feb
301,Transferring to UCM - University of Central Missouri,2018-02-12,1863,8,0,Feb
302,Fall 2017 Commencement - University of Central Missouri,2017-12-11,727,4,0,Dec
303,Jennies Soccer Claims 2017 NCAA DII National Championship - University of Central Missouri,2017-12-05,152,1,0,Dec
304,Jennies Soccer Championship Pep Rally 2017 - University of Central Missouri,2017-12-05,179,1,0,Dec
305,Happy Holidays 2017 - University of Central Missouri,2017-12-01,826,6,0,Dec
306,UCM Department of Theatre and Dance Presents 'Not Waving' - University of Central Missouri,2017-11-27,397,3,0,Nov
307,UCM - State of University 2017,2017-10-27,945,2,1,Oct
308,State Farm Marketing & Sales Competition - University of Central Missouri,2017-10-25,495,1,0,Oct
309,Homecoming 2017 - University of Central Missouri,2017-10-17,1350,7,1,Oct
310,Chang Bin Yim - 2017 UCM Distinguished International Alumni Award,2017-10-16,413,6,1,Oct
311,Robert E. Ruth - 2017 UCM Distinguished Alumni Award for Service,2017-10-16,285,3,0,Oct
312,Karen E. LeDoux - 2017 UCM Distinguished Alumni Award,2017-10-16,300,7,0,Oct
313,Barry L. Davis - 2017 UCM Distinguished Alumni Award,2017-10-16,527,0,0,Oct
314,Natl Guard UCM MOU 2017,2017-10-04,108,1,0,Oct
315,"The Missouri Innovation Campus Grand Opening - Sept. 5, 2017",2017-09-06,2897,19,0,Sep
316,R.A.D. Program - University of Central Missouri,2017-08-30,184,2,0,Aug
317,W.C. Morris Science Building Renovation - University of Central Missouri,2017-08-30,280,0,0,Aug
318,UCM Military Appreciation Day 2017,2017-08-25,110,1,0,Aug
319,UCM - Involvement Fair Fall 2017,2017-08-17,793,0,0,Aug
320,UCM Kickoff 2017,2017-08-11,1610,5,0,Aug
321,UCM Study Abroad - The Middle East: Beyond the Headlines,2017-08-01,641,10,0,Aug
322,IMPACT Leadership Retreat - University of Central Missouri,2017-07-31,1005,2,0,Jul
